sample_id,trait,top_fraction,top_label,pathway,n_top,n_background,top_mean,background_mean,effect,p_value,fdr,direction
20_00331_LI_SING,ApoA1,0.1,top10,M2_macrophage_immunosuppression,384,3450,0.442672162088536,-0.049271336302028,0.491943498390564,9.92577362977475e-97,1.70156119367567e-96,higher_in_top10
20_00331_LI_SING,ApoA1,0.5,top50,Treg_checkpoint,1917,1917,0.0803317369610453,-0.0803317369610453,0.160663473922091,1.91250390796826e-95,1.91250390796826e-95,higher_in_top50
20_00331_LI_SING,ApoA1,0.1,top10,IFNg_response,384,3450,0.425465127462845,-0.0473561185349949,0.472821245997839,6.7436098541349e-92,1.01154147812024e-91,higher_in_top10
20_00331_LI_SING,ApoA1,0.1,top10,Treg_checkpoint,384,3450,0.23655916958767,-0.0263300640932364,0.262889233680906,1.02953276347779e-86,1.37271035130372e-86,higher_in_top10
20_00331_LI_SING,ApoA1,0.1,top10,Oxidative_stress_response,384,3450,0.436551829139715,-0.0485901166346813,0.485141945774396,5.15462546560401e-86,6.18555055872481e-86,higher_in_top10
20_00331_LI_SING,ApoA1,0.2,top20,Epithelial_repair_stemness,767,3067,0.241148164871042,-0.0603066978989528,0.301454862769995,5.08714096410989e-81,5.08714096410989e-81,higher_in_top20
20_00331_LI_SING,ApoA1,0.1,top10,Hypoxia_glycolysis,384,3450,0.363781855145609,-0.040490502137946,0.404272357283555,1.60001106496105e-77,1.74546661632114e-77,higher_in_top10
20_00331_LI_SING,ApoA1,0.1,top10,Epithelial_repair_stemness,384,3450,0.193768912672893,-0.0215673224540261,0.21533623512692,1.90578784930724e-27,1.90578784930724e-27,higher_in_top10
20_00331_LI_SING,HDL_CE,0.5,top50,ECM_remodeling,1917,1917,0.337941731134409,-0.337941731134408,0.675883462268817,2.41748933404288e-299,2.90098720085145e-298,higher_in_top50
20_00331_LI_SING,HDL_CE,0.5,top50,Antigen_presentation,1917,1917,0.320641517577896,-0.320641517577894,0.64128303515579,2.60485028171669e-298,1.56291016903002e-297,higher_in_top50
20_00331_LI_SING,HDL_CE,0.5,top50,Oxidative_stress_response,1917,1917,0.263178721455961,-0.263178721455961,0.526357442911922,2.57944526114719e-296,1.03177810445888e-295,higher_in_top50
20_00331_LI_SING,HDL_CE,0.5,top50,Myeloid_phagocytosis_complement,1917,1917,0.246514960505751,-0.246514960505751,0.493029921011501,2.27890088451134e-279,6.83670265353403e-279,higher_in_top50
20_00331_LI_SING,HDL_CE,0.5,top50,Hypoxia_glycolysis,1917,1917,0.212819075907497,-0.212819075907497,0.425638151814994,5.00639946629597e-261,1.20153587191103e-260,higher_in_top50
20_00331_LI_SING,HDL_CE,0.5,top50,TGFb_CAF_activation,1917,1917,0.211057010276418,-0.211057010276418,0.422114020552835,3.9375236717266e-255,7.87504734345321e-255,higher_in_top50
20_00331_LI_SING,HDL_CE,0.5,top50,IFNg_response,1917,1917,0.202400449477351,-0.202400449477351,0.404800898954702,3.05296312037473e-249,5.23365106349954e-249,higher_in_top50
20_00331_LI_SING,HDL_CE,0.5,top50,M2_macrophage_immunosuppression,1917,1917,0.184615872434824,-0.184615872434823,0.369231744869647,2.07961992491255e-244,3.11942988736882e-244,higher_in_top50
20_00331_LI_SING,HDL_CE,0.2,top20,TGFb_CAF_activation,767,3067,0.459499663221488,-0.114912370945837,0.574412034167325,1.03973006922895e-220,1.24767608307474e-219,higher_in_top20
20_00331_LI_SING,HDL_CE,0.5,top50,Epithelial_repair_stemness,1917,1917,0.203508887319377,-0.203508887319376,0.407017774638753,2.02060758541987e-217,2.69414344722649e-217,higher_in_top50
20_00331_LI_SING,HDL_CE,0.2,top20,Myeloid_phagocytosis_complement,767,3067,0.515725727547582,-0.12897347017574,0.644699197723323,6.38594430261921e-218,3.83156658157153e-217,higher_in_top20
